-20,-14,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-15,-20,-20,-15,-20,-20,-20,-20,-16,-20,-20,-20,-20,-20,-20,-20,-14,-6,-20,-20,-20,-20,-20,-20,-20,-14,-20,-20,-20,-10,-6,-20,-20,-20,-20,-20,-6,-20,-6,-20,-20,-20,-20,-20,-20,-20,-20,-10,-20,-20,-20,-20,-20,-20,-14,-7,-12,-8,-7,-6,-6,-6,-6,-6,-6,-8,-6,-6,-6,-6,-8,-6,-6,-6,-6,-6,-20,-6,-6,-6,-6,-6,-6,-6,-20,-6,-6,-6,-6,-6,-6,-6,-6,-7,-6,-7,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-7,-6,-6,-6,-20,-20,-6,-6,-6,-20,-6,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-12,-20,,,,,,,,,,,,,,,,,,,,,,,,,,
20,34,54,74,94,114,134,154,174,194,214,234,254,274,289,309,329,344,364,384,404,424,440,460,480,500,520,540,560,580,594,600,620,640,660,680,700,720,740,754,774,794,814,824,830,850,870,890,910,930,936,956,962,982,1002,1022,1042,1062,1082,1102,1122,1132,1152,1172,1192,1212,1232,1252,1266,1273,1285,1293,1300,1306,1312,1318,1324,1330,1336,1344,1350,1356,1362,1368,1376,1382,1388,1394,1400,1406,1426,1432,1438,1444,1450,1456,1462,1468,1488,1494,1500,1506,1512,1518,1524,1530,1536,1543,1549,1556,1562,1568,1574,1580,1586,1592,1598,1604,1610,1616,1622,1628,1634,1641,1647,1653,1659,1679,1699,1705,1711,1717,1737,1743,1763,1783,1803,1823,1843,1863,1883,1903,1923,1943,1963,1983,1995,2015,,,,,,,,,,,,,,,,,,,,,,,,,,
-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-14,-20,-20,-8,-20,-20,-11,-20,-20,-6,-20,-20,-20,-20,-20,-6,-9,-20,-20,-6,-20,-6,-20,-6,-14,-20,-20,-20,-8,-10,-20,-20,-20,-20,-6,-20,-20,-20,-20,-13,-6,-20,-20,-12,-20,-20,-20,-20,-6,-6,-6,-6,-6,-6,-7,-10,-6,-6,-8,-6,-6,-6,-6,-6,-6,-6,-6,-6,-8,-9,-10,-20,-6,-7,-6,-6,-6,-6,-7,-6,-6,-8,-6,-6,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-12,-14,-20,-20,-20,-20,-20,-20,-20,-14,-20,-20,-20,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,40,60,80,100,120,140,160,180,200,220,240,260,280,300,320,340,360,380,400,420,440,460,480,494,514,534,542,562,582,593,613,633,639,659,679,699,719,739,745,754,774,794,800,820,826,846,852,866,886,906,926,934,944,964,984,1004,1024,1030,1050,1070,1090,1110,1123,1129,1149,1169,1181,1201,1221,1241,1261,1267,1273,1279,1285,1291,1297,1304,1314,1320,1326,1334,1340,1346,1352,1358,1364,1370,1376,1382,1388,1396,1405,1415,1435,1441,1448,1454,1460,1466,1472,1479,1485,1491,1499,1505,1511,1531,1551,1571,1591,1611,1631,1651,1671,1691,1711,1731,1751,1763,1777,1797,1817,1837,1857,1877,1897,1917,1931,1951,1971,1991,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-13,-13,-20,-20,-12,-20,-20,-17,-11,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-12,-20,-20,-15,-14,-20,-16,-12,-6,-20,-20,-10,-20,-14,-8,-14,-8,-8,-8,-8,-9,-10,-8,-10,-8,-20,-14,-10,-8,-6,-8,-18,-20,-6,-20,-20,-20,-20,-20,-20,-14,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-13,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,40,60,80,100,120,140,160,180,200,220,233,246,266,286,298,318,338,355,366,386,406,426,446,466,486,506,526,546,566,586,598,618,638,653,667,687,703,715,721,741,761,771,791,805,813,827,835,843,851,859,868,878,886,896,904,924,938,948,956,962,970,988,1008,1014,1034,1054,1074,1094,1114,1134,1148,1168,1188,1208,1228,1248,1268,1288,1308,1328,1348,1368,1388,1408,1428,1448,1468,1488,1508,1528,1548,1568,1588,1608,1628,1641,1661,1681,1701,1721,1741,1761,1781,1801,1821,1841,1861,1881,1901,1921,1941,1961,1981,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-6,-6,-20,-20,-20,-12,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-8,-20,-20,-20,-8,-6,-8,-20,-20,-20,-20,-20,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-8,-6,-6,-7,-8,-6,-6,-8,-6,-6,-6,-8,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-20,-20,-20,-20,-7,-16,-16,-20,-20,-20,-20,-20,-20,-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,40,60,80,100,120,140,160,180,200,220,240,260,280,300,320,340,360,380,400,420,440,460,480,500,520,540,560,580,600,620,640,660,680,686,692,712,732,752,764,784,804,824,844,864,884,904,924,944,964,984,1004,1024,1044,1064,1084,1104,1124,1144,1164,1184,1204,1224,1244,1264,1284,1304,1324,1332,1352,1372,1392,1400,1406,1414,1434,1454,1474,1494,1514,1520,1526,1532,1538,1544,1550,1556,1562,1568,1574,1580,1586,1592,1600,1606,1612,1619,1627,1633,1639,1647,1653,1659,1665,1673,1679,1685,1691,1697,1703,1709,1715,1721,1727,1733,1739,1745,1751,1757,1777,1797,1817,1837,1844,1860,1876,1896,1916,1936,1956,1976,1996,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-20,-19,-13,-20,-20,-20,-20,-20,-20,-20,-20,-20,-13,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-18,-20,-20,-20,-10,-6,-20,-20,-20,-20,-20,-20,-14,-20,-6,-20,-17,-6,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-14,-20,-20,-20,-20,-20,-20,-20,-14,-18,-20,-14,-20,-20,-20,-20,-6,-20,-20,-20,-20,-20,-20,-12,-20,-20,-12,-18,-20,-6,-20,-20,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,39,52,72,92,112,132,152,172,192,212,232,245,265,285,305,325,345,365,385,405,425,445,465,483,503,523,543,553,559,579,599,619,639,659,679,693,713,719,739,756,762,782,802,822,842,862,882,902,922,942,962,982,1002,1022,1042,1062,1082,1102,1122,1142,1162,1182,1202,1222,1242,1262,1282,1302,1322,1342,1362,1382,1402,1422,1436,1456,1476,1496,1516,1536,1556,1576,1590,1608,1628,1642,1662,1682,1702,1722,1728,1748,1768,1788,1808,1828,1848,1860,1880,1900,1912,1930,1950,1956,1976,1996,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
